,last_update,pub_key,alias,addresses,color,num_channels,total_capacity
16151,1667423028.0,03e0c11eaafb1e78f5c0e0c16bee7649828f8359e4ac275f865b1f89222e5b7f89,Txino,"[{'network': 'tcp', 'addr': '6dr2p2zbbuu47pgeo5e357acxakar5jb4wceyb2xklkbsdk7fepwkrid.onion:9735'}]",#ff0000,18,0.1962
16152,1667258064.0,03e0d4793ec9de80ea2f07d46cae842a7eaaaafe7081a954806d089322e096f9af,Just another wheel,"[{'network': 'tcp', 'addr': 'w2zoxgx54tumdq2uq5wqdk5cdvcz5uaeg5yo5dbrbithkmxhj3kcwzyd.onion:9735'}]",#68f442,2,0.03313554
16153,0.0,03e0d94bc1721f0730a78dca5d571e26cb08b6ad5d6049bb508e43d6a3050c7b5c,,[],#000000,3,0.000476
16154,1667424444.0,03e0dcfad4ea28427ee109f7c09f62a1210b4576cdb5f079631f9ab3565b5cab44,shadowysuperstore.com,"[{'network': 'tcp', 'addr': '38.242.145.180:20441'}, {'network': 'tcp', 'addr': '6jp4ev7ozvo2qwxccsllofjjexfh3ok6o2m3wtbhxs3nhktgkejgneqd.onion:9735'}]",#00fff2,25,0.45059625
16155,1667400502.0,03e0e2117e28b42bb7a068a336d625ad170adfd556171861a1b29cc831dbdc288d,Geforcy,"[{'network': 'tcp', 'addr': 'of6qaov2u4kvxuyra6rqs552ozahf6v4kggnj3act7agird2egxnpcid.onion:9735'}]",#f2a900,2,0.01
16156,1667471198.0,03e0e98ef0d0081487bde200070e02bb9474db3834a4ede028eec08b61961833d3,03e0e98ef0d0081487bd,"[{'network': 'tcp', 'addr': '74.74.75.220:9735'}, {'network': 'tcp', 'addr': '6iaxojsffup2gt5pwgyf2uop2ucdkjbdz7fuyqwjx7rtrt2zjeoukqyd.onion:9735'}]",#3399ff,1,0.0045
16157,1594571915.0,03e0f68fec10077c135eaee274dc280d50af1539e564230a6872d893a019f31f9a,Happygardenercasa,"[{'network': 'tcp', 'addr': 'laweywl7cs7a2gkfu6nii44rpr6i6fvdoqigtzcb7hlhvzj25gmfpmqd.onion:9735'}]",#3399ff,13,0.01697576
16158,1667250298.0,03e121fa397cb7ec60935c140bfbfa7690c3158ba6df26b8bc636508d8a3735afd,bitmax,"[{'network': 'tcp', 'addr': '172.81.182.190:9735'}, {'network': 'tcp', 'addr': 'm7ad2uik6au3k6cudrkoqojfefejidgmh53inq7ww5n62qymno73yjid.onion:9735'}]",#3399ff,47,4.23617622
16159,1667275568.0,03e125d8faacfceff63d9878b27302ae9e20a3153c1e73185d9efbd934bfcac2f3,R-Cyberjaya-MY,"[{'network': 'tcp', 'addr': 'ebxoj5ugfwa72dmhwunz6zjikomx6bhlt24x6a3vmx4gkjjhl6hiavqd.onion:9735'}]",#4a0e4e,7,0.05527674
16160,1665332171.0,03e126943da5d79e6cb0ab56683fbea88c9d698e51d89a6052efb607ff1f390f67,BlockCity,"[{'network': 'tcp', 'addr': 'ccbipp2ccfx3aunpr3q2miwmb2i6ih5ta3xz7qv3wk4ntujqmldxxwid.onion:9735'}]",#26989c,3,0.041105
