,last_update,pub_key,alias,addresses,color,num_channels,total_capacity
0,1669022542.0,0200000000009482fa1bd99ec1d71a06ebfe27e8aee305e46bb53b78c7c6ab5b2a,Zero,"[{'network': 'tcp', 'addr': '159.223.208.252:9736'}]",#000000,1,0.00015
1,1667730703.0,0200000000a3eff613189ca6c4070c89206ad658e286751eca1f29262948247a5f,pay.lnrouter.app,"[{'network': 'tcp', 'addr': '159.69.16.168:9735'}, {'network': 'tcp', 'addr': '[2a01:4f8:1c1e:abc1::1]:9735'}]",#f8fbff,5,0.27226682
2,1669177273.0,020003b9499a97c8dfbbab6b196319db37ba9c37bccb60477f3c867175f417988e,BJCR_BTCPayServer,"[{'network': 'tcp', 'addr': '95.217.192.209:9735'}]",#3399ff,28,1.60167759
3,1657199384.0,0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,OutaSpace 🚀,"[{'network': 'tcp', 'addr': '176.28.11.68:9760'}, {'network': 'tcp', 'addr': 'nzslu33ecbokyn32teza2peiiiuye43ftom7jvnuhsxdbg3vhw7w3aqd.onion:9760'}]",#123456,4,0.01273366
4,1665509269.0,0200081eaa41b5661d3b512f5aae9d6abfb11ba1497a354e9217d9a18fbaa1e76b,0200081eaa41b5661d3b,"[{'network': 'tcp', 'addr': 'lm63zodngkzqbol6lgadijh5p5xm6ltbekfxlbofvmnbkvi5cnzrzdid.onion:9735'}]",#3399ff,2,0.002
5,1668820406.0,020016201d389a44840f1f33be29288952f67c8ef6b3f98726fda180b4185ca6e2,AlasPoorYorick,"[{'network': 'tcp', 'addr': '7vuykfnmgkarlk4xjew4ea6lj7qwbbggbox4b72abupu7sn24geajzyd.onion:9735'}]",#604bee,15,0.3742
6,1669053484.0,02001828ca7eb8e44d4d78b5c1ea609cd3744be823c22cd69d895eff2f9345892d,nodl-lnd-s010-042,"[{'network': 'tcp', 'addr': '185.150.160.210:4042'}]",#000000,1,0.001
7,1669145729.0,02001bcff2e27f6aa2aa8e68c7e5944bcbf5daf4954963e5a1ce2ab6f5386d0342,a8933f1a19c6,"[{'network': 'tcp', 'addr': '18.215.247.182:9735'}]",#3399ff,1,0.0009
8,1669179686.0,0200232177944d5e2ddf5b203843050dee40c4b7f343356499ed9aeb4eb154fd4e,skyskiff,"[{'network': 'tcp', 'addr': '6b4f5feemouvzlyg5z4yn5qgvuam2535lowhsvak6ci5nhufgk6noqad.onion:9735'}]",#3399ff,40,1.21
9,1668911655.0,02003141a383097ddeb8b7fa02312acc16a89d65670554fc77c4168f2d1de5e6ee,02003141a383097ddeb8,"[{'network': 'tcp', 'addr': '3amkyoxebn6jibs5jttwtpt4tms33nawlknqqpjcgmbt5uktzqhieeqd.onion:9735'}]",#3399ff,2,0.045
10,1669115977.0,02003da11e078c1f6358dedd6583bdafda8f1ebc674b9d7b82a66445f8cd1a64e0,start9-0x1e55891093e05411,"[{'network': 'tcp', 'addr': '2f36gav263oe342gedidftmkyumc6oz6ctijzdrxpyokj275w73x7nad.onion:9735'}]",#02f734,2,0.002
11,1669159970.0,02003e11a6b742fe6341b48b8a1f365012aecd49c367817bbb28bd00399904b74b,EndTheECB,"[{'network': 'tcp', 'addr': 'v5jk5jkx3fuqwpqkgvkx7u5d4ltyhtkebsh5bw4osx7i4o3kfp6n3byd.onion:9735'}]",#68f442,11,0.16990775
12,1572938717.0,0200424bd89b5282c310e10a52fd783070556f947b54d93f73fd89534ce0cba708,WHENBTC,"[{'network': 'tcp', 'addr': '67.166.1.116:9735'}]",#3399ff,10,0.1927824
13,1668816944.0,02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c,LND2,"[{'network': 'tcp', 'addr': '172.81.178.151:9735'}, {'network': 'tcp', 'addr': 'yocrhxpg2hkof6xeaz4zsjtwmbbcu6xvwvb7dazf2lkbslwylkqzrwad.onion:9735'}]",#3399ff,337,2.4263313
14,0.0,020055cfd1c07c63530ff4471eabd2b286efd9a493137215bab684590c62d27ba4,,[],#000000,1,0.03
15,0.0,02005dcac896582db30f259c17bba1849a9e1127f60d120ec7db69c17ce64d749d,,[],#000000,1,0.001
16,1669186894.0,020060ce06e5130c55900c4c4b0d6bc34e72f94d948854b6e0670f154472d014ec,PharLap,"[{'network': 'tcp', 'addr': 'kxpr7j4jpcaup7k6xbdj53mq2tdm6anukvz765satbqi7orjezj7qcad.onion:9735'}]",#3399ff,29,0.86469136
17,1668884582.0,0200630ced43cd3f86bcf8fc85cb4d6304bdb0fa7cb11b05b502501cd5d50cfe38,Btix,"[{'network': 'tcp', 'addr': '533cmpophuqj34raqw3z26fruxaxr4dtrd2jws7lbwbzkh3rgyrneyqd.onion:9735'}]",#3399ff,4,0.01495945
18,1669125635.0,02006a7dc99e2db1e73baf8da79646034412b9770ffc7536ce75c71e91b923f59a,Daniel_Finans[NodeNor],"[{'network': 'tcp', 'addr': '3e4655yydec7jj7zxlxik4ortghrziui4xl7c6tkj34w5ggh52nj7pad.onion:9735'}]",#f8cecc,8,0.22
